"","external_gene_name","chromosome_name","transcript_biotype"
"434","cmd-1","V","protein_coding"
"435","cmk-1","IV","protein_coding"
"436","cnb-1","V","protein_coding"
"437","cnc-1","V","protein_coding"
"438","cnc-2","V","protein_coding"
"439","cnc-3","V","protein_coding"
"440","cnc-4","V","protein_coding"
"441","cnc-5","V","protein_coding"
"442","cnc-6","III","protein_coding"
"443","cnd-1","III","protein_coding"
"444","cng-1","V","protein_coding"
"445","cng-3","IV","protein_coding"
"446","cnk-1","III","protein_coding"
"447","cnt-1","II","protein_coding"
"448","cnt-2","III","protein_coding"
"449","cnx-1","III","protein_coding"
"450","cof-2","I","protein_coding"
"451","cog-1","II","protein_coding"
"452","cogc-2","IV","protein_coding"
"453","coh-1","X","protein_coding"
"454","coh-3","V","protein_coding"
"455","col-2","IV","protein_coding"
"456","col-3","IV","protein_coding"
"457","col-7","I","protein_coding"
"458","col-8","III","protein_coding"
"459","col-9","X","protein_coding"
"460","col-10","V","protein_coding"
"461","col-12","V","protein_coding"
"462","col-13","V","protein_coding"
"463","col-14","IV","protein_coding"
"464","col-17","II","protein_coding"
"465","col-19","X","protein_coding"
"466","col-20","II","protein_coding"
"467","col-33","IV","protein_coding"
"468","col-34","IV","protein_coding"
"469","col-35","I","protein_coding"
"470","col-36","II","protein_coding"
"471","col-37","V","protein_coding"
"472","col-38","II","protein_coding"
"473","col-39","II","protein_coding"
"474","col-40","II","protein_coding"
"475","col-41","X","protein_coding"
"476","col-43","V","protein_coding"
"477","col-44","X","protein_coding"
"478","col-45","I","protein_coding"
"479","col-46","I","protein_coding"
"480","col-47","I","protein_coding"
"481","col-48","I","protein_coding"
"482","col-49","I","protein_coding"
"483","col-50","I","protein_coding"
"484","col-51","I","protein_coding"
"485","col-52","I","protein_coding"
"486","col-53","I","protein_coding"
"487","col-54","I","protein_coding"
"488","col-55","I","protein_coding"
"489","col-56","I","protein_coding"
"490","col-58","I","protein_coding"
"491","col-60","I","protein_coding"
"492","col-61","I","protein_coding"
"493","col-62","I","protein_coding"
"494","col-63","I","protein_coding"
"495","col-64","I","protein_coding"
"496","col-65","I","protein_coding"
"497","col-68","II","protein_coding"
"498","col-69","II","protein_coding"
"499","H17B01.2","II","protein_coding"
"500","col-71","II","protein_coding"
"501","col-72","II","protein_coding"
"502","col-73","II","protein_coding"
"503","col-74","II","protein_coding"
"504","col-75","II","protein_coding"
"505","col-76","II","protein_coding"
"506","col-77","II","protein_coding"
"507","col-78","II","protein_coding"
"508","col-79","II","protein_coding"
"509","col-80","II","protein_coding"
"510","col-81","II","protein_coding"
"511","col-83","II","protein_coding"
"512","col-84","II","protein_coding"
"513","col-85","II","protein_coding"
"514","col-86","II","protein_coding"
"515","col-87","II","protein_coding"
"516","col-88","III","protein_coding"
"517","col-89","III","protein_coding"
"518","col-90","III","protein_coding"
"519","col-91","III","protein_coding"
"520","col-92","III","protein_coding"
"521","col-93","III","protein_coding"
"522","col-94","III","protein_coding"
"523","col-95","III","protein_coding"
"524","col-96","III","protein_coding"
"525","col-97","III","protein_coding"
"526","col-98","III","protein_coding"
"527","col-99","IV","protein_coding"
"528","col-101","IV","protein_coding"
"529","col-102","IV","protein_coding"
"530","col-103","IV","protein_coding"
"531","col-104","IV","protein_coding"
"532","col-105","IV","protein_coding"
"533","col-106","IV","protein_coding"
"534","col-107","IV","protein_coding"
"535","col-108","IV","protein_coding"
